DateTime,AdviceCode,Speed,Length,StopTime,RoadTemperature,OCCFactor,Gap,Headway
2020-01-31 12:41:03,128,62.76,0,0,32,0,16,278.89
2020-01-31 12:41:31,4,49.88,3.96,0,32,1,28,388.01
2020-01-31 12:41:32,2,56.32,3.65,0,32,1,1,15.54
2020-01-31 12:42:20,2,48.28,5.18,0,32,1,48,643.73
2020-01-31 12:43:41,2,41.84,3.96,0,32,1,81,941.52
2020-01-31 12:43:43,2,48.28,4.87,0,32,1,2,26.82
2020-01-31 12:43:47,2,48.28,4.57,0,32,1,4,53.64
2020-01-31 12:44:39,2,56.32,6.70,0,32,1,52,813.51
2020-01-31 12:44:42,2,46.67,4.26,0,32,1,3,39.01
2020-01-31 12:44:59,2,40.23,3.96,0,32,1,17,189.89
2020-01-31 12:45:09,2,45.06,2.74,0,32,0,10,125.27
2020-01-31 12:45:31,2,40.23,5.18,0,32,1,22,245.97
2020-01-31 12:46:57,2,37.01,13.71,0,32,3,86,884.22
2020-01-31 12:48:40,2,40.23,5.18,0,32,1,103,1151.22
2020-01-31 12:48:53,2,43.45,3.65,0,32,1,13,156.97
2020-01-31 12:50:25,2,49.88,3.96,0,32,1,92,1274.97
2020-01-31 12:50:30,2,38.62,5.48,0,32,1,5,53.64
2020-01-31 12:51:58,2,45.06,5.48,0,32,1,88,1101.54
2020-01-31 12:52:00,2,45.06,5.79,0,32,1,2,24.99
2020-01-31 12:53:10,2,33.79,4.26,0,32,1,70,657.14
2020-01-31 12:54:19,2,48.28,5.48,0,32,1,69,925.37
2020-01-31 12:55:18,2,37.01,5.79,0,32,1,59,606.55
2020-01-31 12:57:01,2,93.34,.91,0,32,0,103,2670.65
2020-01-31 12:57:22,2,41.84,9.14,0,32,2,21,244.14
2020-01-31 12:57:27,2,56.32,7.62,0,32,1,5,78.33
2020-01-31 12:58:29,2,48.28,5.48,0,32,1,62,831.49
2020-01-31 12:58:33,2,37.01,4.57,0,32,1,4,41.14
2020-01-31 12:59:20,2,45.06,3.96,0,32,1,47,588.26
2020-01-31 13:00:01,2,49.88,3.04,0,32,0,41,568.14
2020-01-31 13:00:06,2,41.84,3.65,0,32,1,5,58.21
2020-01-31 13:02:35,2,49.88,4.57,0,32,1,149,2065.02
2020-01-31 13:03:18,2,48.28,6.09,0,32,1,43,576.68
2020-01-31 13:04:42,2,43.45,4.57,0,32,1,84,1013.76
2020-01-31 13:04:51,2,37.01,4.26,0,32,1,9,92.65
2020-01-31 13:05:25,2,59.54,4.57,0,32,1,34,562.35
2020-01-31 13:05:58,2,51.49,3.65,0,32,1,33,472.13
2020-01-31 13:06:02,2,45.06,5.48,0,32,1,4,49.98
2020-01-31 13:06:09,2,48.28,3.96,0,32,1,7,93.87
2020-01-31 13:06:41,2,43.45,3.96,0,32,1,32,386.18
2020-01-31 13:07:02,2,40.23,5.18,0,32,1,21,234.69
2020-01-31 13:07:28,2,48.28,4.26,0,32,1,26,348.69
2020-01-31 13:08:53,2,37.01,5.18,0,32,1,85,873.86
2020-01-31 13:09:59,2,49.88,4.26,0,32,1,66,914.70
2020-01-31 13:10:24,2,57.93,4.87,0,32,1,25,402.33
2020-01-31 13:10:50,2,41.84,6.09,0,32,1,26,302.05
2020-01-31 13:12:00,2,46.67,4.26,0,32,1,70,907.38
2020-01-31 13:13:23,2,54.71,5.48,0,32,1,83,1261.56
2020-01-31 13:14:06,2,43.45,4.57,0,32,1,43,519.07
2020-01-31 13:14:47,2,40.23,4.26,0,32,1,41,458.11
2020-01-31 13:14:49,2,37.01,4.57,0,32,1,2,20.42
2020-01-31 13:15:10,2,51.49,4.57,0,32,1,21,300.53
2020-01-31 13:15:41,4,35.40,2.74,0,32,1,31,304.8
2020-01-31 13:15:46,2,32.18,7.31,0,32,2,5,44.80
2020-01-31 13:16:18,2,38.62,5.18,0,32,1,32,343.20
2020-01-31 13:16:20,2,40.23,3.96,0,32,1,2,22.25
